,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,target_cls,target_reg
1601,5,10,8,8,7,4,11,2,2,9,9,9,8,12,2,8,25.12,2.5,6.7,23.4,23,10.73
1602,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8,3.14,8.75,0.67,10.5,9,3.7900000000000005
1603,3,1,4,2,2,5,11,3,2,8,9,9,6,11,0,8,12.56,2.5,0.67,30.9,23,6.5699999999999985
1604,2,4,3,3,2,6,7,5,5,9,7,10,2,9,4,9,9.42,6.25,2.68,52.2,7,5.889999999999999
1605,4,8,4,6,2,3,6,6,11,7,7,15,0,8,7,7,12.56,13.75,5.36,63.599999999999994,5,7.4
1606,6,11,9,8,5,7,10,1,8,6,12,9,4,10,3,7,28.26,10.0,7.37,13.5,25,10.969999999999999
1607,2,3,3,1,1,5,10,4,5,10,9,5,1,9,3,6,9.42,6.25,2.0100000000000002,41.699999999999996,6,5.01
1608,3,11,5,8,1,5,10,3,2,9,13,8,1,11,0,8,15.700000000000001,2.5,7.37,33.9,25,8.47
1609,4,8,5,6,5,7,8,8,5,7,8,8,3,8,3,8,15.700000000000001,6.25,5.36,84.0,15,7.839999999999998
1610,7,9,6,5,3,8,10,5,4,4,6,10,6,11,3,7,18.84,5.0,6.03,53.7,14,9.56
1611,3,6,5,4,5,7,8,3,4,6,6,9,6,8,7,6,15.700000000000001,5.0,4.0200000000000005,32.4,18,7.92
1612,2,3,4,2,2,7,9,3,4,12,5,4,1,9,3,8,12.56,5.0,2.0100000000000002,31.499999999999996,16,4.840000000000002
1613,4,6,4,7,4,8,5,6,4,9,5,8,3,8,3,8,12.56,5.0,4.0200000000000005,62.99999999999999,17,6.659999999999998
1614,3,5,5,4,2,7,7,2,10,12,6,8,1,8,6,8,15.700000000000001,12.5,3.35,21.9,26,6.34
1615,3,4,5,3,3,8,6,3,4,9,6,8,6,5,2,8,15.700000000000001,5.0,2.68,31.799999999999997,13,5.640000000000001
1616,3,5,5,3,2,10,2,2,2,10,2,9,2,6,2,7,15.700000000000001,2.5,3.35,21.9,1,4.520000000000001
1617,1,3,2,2,1,7,7,1,7,13,6,8,0,8,1,8,6.28,8.75,2.0100000000000002,11.1,9,4.040000000000001
1618,2,6,3,4,1,7,9,14,2,7,4,8,3,8,0,8,9.42,2.5,4.0200000000000005,144.6,8,5.279999999999999
1619,6,9,9,8,11,10,7,5,5,7,5,8,10,11,9,4,28.26,6.25,6.03,53.7,23,12.069999999999999
1620,3,5,5,3,2,7,7,2,8,11,5,9,2,8,4,9,15.700000000000001,10.0,3.35,21.9,5,6.0
1621,5,12,5,6,4,10,5,4,6,11,4,8,3,8,8,11,15.700000000000001,7.5,8.040000000000001,44.4,17,8.509999999999996
1622,3,2,4,3,3,6,7,4,6,6,5,7,3,7,5,8,12.56,7.5,1.34,41.4,18,5.25
1623,6,12,4,6,3,6,8,5,5,9,5,6,5,9,5,8,12.56,6.25,8.040000000000001,54.6,15,8.11
1624,2,3,3,2,2,7,7,6,4,9,6,8,2,8,2,8,9.42,5.0,2.0100000000000002,62.099999999999994,15,4.860000000000001
1625,10,13,12,7,5,3,11,6,3,14,12,9,6,9,0,8,37.68,3.75,8.71,65.1,14,11.28
1626,2,4,4,3,3,6,7,1,6,10,7,10,3,8,2,8,12.56,7.5,2.68,11.399999999999999,11,5.800000000000001
1627,5,9,7,6,7,6,8,3,4,8,7,8,6,9,5,4,21.98,5.0,6.03,33.3,14,9.2
1628,3,8,4,9,5,9,7,8,3,5,6,9,3,8,6,10,12.56,3.75,5.36,84.0,17,8.429999999999998
1629,4,3,5,5,2,6,7,6,10,7,6,13,1,8,4,9,15.700000000000001,12.5,2.0100000000000002,62.099999999999994,3,6.630000000000001
1630,2,3,3,2,2,8,8,3,4,9,5,7,2,7,3,9,9.42,5.0,2.0100000000000002,31.499999999999996,18,4.869999999999999
1631,2,7,3,5,2,7,7,9,6,7,6,8,3,8,4,8,9.42,7.5,4.69,93.89999999999999,15,6.25
1632,5,8,6,6,3,7,7,7,8,10,6,11,2,10,4,9,18.84,10.0,5.36,73.8,7,8.219999999999997
1633,5,7,6,6,7,7,8,5,4,7,7,10,7,10,9,10,18.84,5.0,4.69,53.1,5,10.139999999999999
1634,3,5,4,3,2,7,7,3,9,6,6,8,3,8,6,7,12.56,11.25,3.35,32.099999999999994,24,6.289999999999999
1635,5,12,4,7,4,9,6,4,2,9,8,11,4,9,7,13,12.56,2.5,8.040000000000001,44.4,3,9.699999999999998
1636,3,6,4,4,4,6,10,7,3,7,4,8,2,6,5,11,12.56,3.75,4.0200000000000005,73.19999999999999,18,6.25
1637,1,1,2,1,1,6,9,8,4,7,5,8,2,7,4,11,6.28,5.0,0.67,81.89999999999999,18,4.17
1638,8,14,7,8,5,7,6,3,7,10,5,7,6,7,8,5,21.98,8.75,9.38,34.8,4,9.84
1639,2,5,3,4,1,7,7,0,7,13,6,8,0,8,1,8,9.42,8.75,3.35,1.5,9,4.9
1640,3,11,5,8,4,8,11,2,3,5,10,8,3,12,1,8,15.700000000000001,3.75,7.37,23.7,22,9.63
1641,6,8,9,6,5,10,8,3,6,10,2,4,5,9,1,7,28.26,7.5,5.36,33.0,14,7.859999999999999
1642,6,11,6,8,4,6,7,11,11,6,5,6,3,8,4,8,18.84,13.75,7.37,115.49999999999999,4,7.949999999999999
1643,5,5,8,4,4,6,6,3,4,10,9,10,10,5,3,9,25.12,5.0,3.35,32.099999999999994,13,7.829999999999998
1644,3,4,5,3,2,10,1,3,2,10,2,10,2,6,3,8,15.700000000000001,2.5,2.68,31.799999999999997,1,4.51
1645,8,14,7,8,3,6,9,2,7,10,7,6,2,10,5,6,21.98,8.75,9.38,24.599999999999998,6,9.7
1646,4,9,4,4,2,13,3,3,4,12,1,8,3,7,1,10,12.56,5.0,6.03,33.3,4,5.720000000000001
1647,4,5,6,7,3,9,8,9,8,6,7,10,3,8,4,8,18.84,10.0,3.35,93.3,15,8.079999999999998
1648,2,4,3,2,2,8,7,7,4,7,6,8,2,8,2,8,9.42,5.0,2.68,72.6,15,5.150000000000002
1649,4,6,6,4,4,9,8,3,5,7,7,7,4,11,6,7,18.84,6.25,4.0200000000000005,32.4,24,8.430000000000001
1650,6,7,8,10,10,8,9,5,2,5,7,9,8,15,8,14,25.12,2.5,4.69,53.1,17,12.629999999999999
1651,4,10,6,8,2,8,8,4,3,6,14,8,3,9,0,8,18.84,3.75,6.7,43.8,22,8.94
1652,4,9,4,4,3,7,8,4,3,9,8,10,3,9,8,11,12.56,3.75,6.03,43.5,3,8.479999999999999
1653,5,11,7,8,6,6,7,8,7,6,6,5,3,9,4,9,21.98,8.75,7.37,84.89999999999999,4,8.379999999999997
1654,3,3,4,5,2,7,8,8,7,6,7,8,2,7,6,11,12.56,8.75,2.0100000000000002,82.5,7,6.350000000000001
1655,5,11,7,8,6,6,10,2,5,13,7,5,2,10,2,7,21.98,6.25,7.37,23.7,6,8.8
1656,6,11,8,8,8,8,7,7,7,7,6,6,3,8,8,11,25.12,8.75,7.37,74.69999999999999,2,9.819999999999999
1657,2,3,3,2,2,6,7,5,5,9,7,10,2,9,4,9,9.42,6.25,2.0100000000000002,51.9,7,5.609999999999999
1658,4,10,5,7,2,7,7,4,4,7,6,8,3,8,4,8,15.700000000000001,5.0,6.7,43.8,24,7.539999999999999
1659,0,7,0,5,0,7,7,4,4,7,6,8,0,8,0,8,0.0,5.0,4.69,42.9,9,4.290000000000001
1660,6,9,8,8,8,6,8,5,7,5,3,6,5,9,8,5,25.12,8.75,6.03,53.7,4,9.379999999999997
1661,5,4,5,6,2,4,9,8,2,7,4,11,4,8,3,10,15.700000000000001,2.5,2.68,82.8,11,6.719999999999997
1662,4,9,6,7,7,9,7,4,4,7,6,6,5,10,6,5,18.84,5.0,6.03,43.5,14,9.139999999999999
1663,2,5,4,4,3,7,8,4,7,7,7,8,3,9,6,7,12.56,8.75,3.35,42.3,20,6.91
1664,6,7,8,5,6,10,6,3,6,10,3,7,4,7,4,9,25.12,7.5,4.69,32.699999999999996,8,7.77
1665,5,11,6,8,2,0,0,7,6,0,1,4,0,8,0,8,18.84,7.5,7.37,74.69999999999999,12,3.5399999999999996
1666,4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,15.700000000000001,1.25,2.0100000000000002,123.3,13,6.549999999999999
1667,5,11,7,8,4,7,7,2,11,11,6,8,1,8,6,7,21.98,13.75,7.37,23.7,26,8.58
1668,3,6,4,4,2,7,7,4,14,9,6,8,0,8,8,8,12.56,17.5,4.0200000000000005,42.599999999999994,26,6.51
1669,4,9,6,7,10,9,7,5,2,7,6,8,13,10,3,6,18.84,2.5,6.03,53.7,23,10.319999999999997
1670,4,5,5,6,5,9,6,7,4,5,6,8,3,8,6,9,15.700000000000001,5.0,3.35,72.89999999999999,17,7.579999999999998
1671,6,5,7,4,4,6,10,4,3,8,7,7,9,11,3,5,21.98,3.75,3.35,42.3,23,8.77
1672,2,5,3,3,2,8,7,7,4,9,5,8,2,8,3,8,9.42,5.0,3.35,72.89999999999999,15,5.43
1673,5,11,6,8,6,6,9,4,7,10,9,6,2,9,4,6,18.84,8.75,7.37,44.099999999999994,6,9.049999999999999
1674,3,8,4,6,2,6,7,10,9,6,6,6,3,8,4,8,12.56,11.25,5.36,104.4,4,6.390000000000001
1675,4,7,5,5,4,9,6,2,6,11,5,8,3,8,4,11,15.700000000000001,7.5,4.69,22.5,5,7.109999999999999
1676,3,5,4,7,2,0,14,4,4,12,11,6,0,8,2,6,12.56,5.0,3.35,42.3,6,6.470000000000001
1677,3,5,5,3,4,9,7,3,6,10,5,6,2,8,5,10,15.700000000000001,7.5,3.35,32.099999999999994,2,6.3100000000000005
1678,4,5,4,3,3,5,10,5,4,10,8,4,1,10,4,7,12.56,5.0,3.35,52.5,16,6.33
1679,3,4,4,2,2,6,7,5,5,10,7,9,2,9,4,9,12.56,6.25,2.68,52.2,7,5.899999999999999
1680,4,8,5,6,3,8,7,8,4,7,6,6,3,8,3,7,15.700000000000001,5.0,5.36,84.0,15,6.989999999999998
1681,5,9,5,4,2,5,8,3,3,10,9,6,4,9,3,4,15.700000000000001,3.75,6.03,33.3,25,7.289999999999997
1682,2,3,4,2,1,8,11,1,6,6,11,9,1,11,1,8,12.56,7.5,2.0100000000000002,11.1,25,6.869999999999999
1683,5,7,8,6,8,9,7,4,4,8,5,7,8,10,7,5,25.12,5.0,4.69,42.9,18,9.8
1684,8,11,6,6,4,9,7,6,7,10,4,8,6,6,6,10,18.84,8.75,7.37,64.5,2,8.88
1685,9,11,7,6,4,6,10,6,3,11,5,5,5,9,4,8,21.98,3.75,7.37,64.5,16,9.059999999999997
1686,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,15.700000000000001,6.25,2.68,31.799999999999997,16,5.3199999999999985
1687,3,3,4,4,2,5,11,7,3,7,4,8,3,7,6,11,12.56,3.75,2.0100000000000002,72.3,18,6.0600000000000005
1688,1,2,1,3,1,7,7,1,7,7,6,8,0,8,2,8,3.14,8.75,1.34,10.799999999999999,9,4.07
1689,4,6,6,4,4,7,7,6,5,7,6,6,4,8,3,7,18.84,6.25,4.0200000000000005,62.99999999999999,4,6.659999999999998
1690,4,3,4,5,1,4,8,9,1,7,6,11,3,8,2,11,12.56,1.25,2.0100000000000002,92.7,11,5.869999999999999
1691,4,6,6,4,4,9,7,3,6,11,4,6,3,8,3,8,18.84,7.5,4.0200000000000005,32.4,4,6.559999999999999
1692,4,9,5,6,2,3,14,7,1,11,6,3,0,10,4,8,15.700000000000001,1.25,6.03,74.1,16,7.110000000000001
1693,6,10,7,8,3,4,9,6,8,12,10,11,2,9,3,6,21.98,10.0,6.7,64.19999999999999,3,9.209999999999997
1694,2,8,4,6,3,11,3,3,3,10,2,9,2,6,3,8,12.56,3.75,5.36,33.0,1,5.67
1695,4,10,5,7,4,7,6,8,5,7,5,8,3,8,3,8,15.700000000000001,6.25,6.7,84.6,15,7.33
1696,3,7,5,5,4,8,9,8,5,4,7,11,3,7,3,7,15.700000000000001,6.25,4.69,83.69999999999999,21,7.6899999999999995
1697,5,11,6,8,5,9,6,4,6,10,3,7,2,8,5,10,18.84,7.5,7.37,44.099999999999994,19,8.1
1698,6,11,8,8,6,7,7,7,6,8,7,8,3,7,4,6,25.12,7.5,7.37,74.69999999999999,10,9.05
1699,2,1,3,2,1,7,6,10,1,7,9,8,7,6,0,8,9.42,1.25,0.67,102.3,13,4.6899999999999995
1700,3,7,5,5,4,9,8,3,5,9,5,6,2,8,5,9,15.700000000000001,6.25,4.69,32.699999999999996,2,7.040000000000001
1701,4,11,3,6,2,10,5,4,4,12,3,7,3,8,5,10,9.42,5.0,7.37,44.099999999999994,9,6.9399999999999995
1702,6,7,9,5,5,8,7,3,7,10,4,7,5,6,4,8,28.26,8.75,4.69,32.699999999999996,8,7.719999999999999
1703,2,2,4,4,2,8,2,2,2,8,2,8,2,6,3,7,12.56,2.5,1.34,21.0,1,3.6700000000000004
1704,2,8,4,5,1,6,11,2,3,9,12,8,1,10,0,8,12.56,3.75,5.36,22.799999999999997,25,7.329999999999998
1705,4,4,4,3,2,7,9,5,4,7,6,7,5,9,2,7,12.56,5.0,2.68,52.2,14,6.34
1706,2,4,4,3,2,9,2,2,2,9,2,8,2,6,3,8,12.56,2.5,2.68,21.599999999999998,1,3.940000000000001
1707,3,5,5,4,2,7,2,1,2,6,2,8,3,5,3,7,15.700000000000001,2.5,3.35,11.7,1,4.140000000000001
1708,1,1,2,1,1,7,7,11,1,7,6,8,3,8,0,8,6.28,1.25,0.67,112.49999999999999,8,3.8400000000000003
1709,7,10,5,8,4,7,10,3,2,12,5,5,2,9,8,9,15.700000000000001,2.5,6.7,33.599999999999994,10,9.029999999999998
1710,2,3,4,1,2,9,6,4,6,10,4,6,2,8,3,8,12.56,7.5,2.0100000000000002,41.699999999999996,4,4.57
1711,2,6,3,4,1,7,7,0,7,13,6,8,0,8,1,8,9.42,8.75,4.0200000000000005,1.7999999999999998,9,5.030000000000001
1712,2,2,3,2,2,8,8,5,2,8,7,9,2,9,3,8,9.42,2.5,1.34,51.6,17,5.679999999999998
1713,6,13,6,7,6,7,7,4,4,9,7,8,7,6,9,8,18.84,5.0,8.71,44.699999999999996,2,9.93
1714,4,10,6,9,5,8,6,4,4,6,7,8,3,9,8,10,18.84,5.0,6.7,43.8,12,9.289999999999997
1715,3,8,4,5,2,7,8,15,1,7,5,8,3,8,0,8,12.56,1.25,5.36,155.4,8,6.1
1716,2,3,3,2,1,10,2,3,1,10,2,9,2,6,2,8,9.42,1.25,2.0100000000000002,31.499999999999996,1,3.5400000000000005
1717,3,5,5,4,3,9,7,4,5,9,4,7,3,7,4,10,15.700000000000001,6.25,3.35,42.3,18,6.109999999999999
1718,5,9,5,7,3,4,10,7,8,13,10,8,2,10,2,6,15.700000000000001,10.0,6.03,74.1,3,8.27
1719,5,9,8,7,5,6,8,4,9,12,9,9,3,8,5,6,25.12,11.25,6.03,43.5,5,9.129999999999999
1720,5,8,6,6,5,7,8,4,7,7,6,8,7,8,3,7,18.84,8.75,5.36,43.199999999999996,4,8.319999999999999
1721,5,5,7,4,5,8,6,6,5,7,7,8,8,6,2,8,21.98,6.25,3.35,62.699999999999996,13,7.35
1722,7,13,6,7,5,10,4,4,6,11,4,8,3,8,8,11,18.84,7.5,8.71,44.699999999999996,17,9.209999999999999
1723,3,8,4,6,2,7,7,6,9,5,7,10,0,8,9,8,12.56,11.25,5.36,63.599999999999994,19,7.649999999999999
1724,3,3,4,5,2,8,6,5,9,5,6,8,0,9,9,8,12.56,11.25,2.0100000000000002,51.9,19,6.59
1725,2,4,2,3,1,5,4,5,7,2,2,4,1,7,1,6,6.28,8.75,2.68,52.2,12,2.43
1726,7,13,7,7,5,8,10,3,5,11,5,4,4,9,8,7,21.98,6.25,8.71,34.5,6,9.94
1727,2,5,4,3,3,8,7,3,6,9,5,7,2,8,5,10,12.56,7.5,3.35,32.099999999999994,2,5.860000000000001
1728,4,4,5,6,2,7,7,14,2,4,6,8,6,8,0,8,15.700000000000001,2.5,2.68,143.99999999999997,14,6.369999999999999
1729,3,2,4,3,2,7,8,5,4,7,6,7,5,9,2,6,12.56,5.0,1.34,51.6,14,5.75
1730,4,8,6,6,5,7,5,6,5,7,6,8,3,8,4,8,18.84,6.25,5.36,63.599999999999994,16,7.32
1731,2,7,4,4,1,8,5,3,1,7,0,8,2,7,2,8,12.56,1.25,4.69,32.699999999999996,1,4.43
1732,3,8,4,6,4,8,8,6,5,9,6,4,3,8,3,6,12.56,6.25,5.36,63.599999999999994,4,6.710000000000001
1733,8,13,7,8,7,9,7,4,5,9,5,7,7,6,9,8,21.98,6.25,8.71,44.699999999999996,2,10.549999999999999
1734,5,8,6,6,3,8,7,12,2,6,9,8,9,6,0,8,18.84,2.5,5.36,124.8,13,7.93
1735,3,7,4,5,3,7,7,6,10,6,5,9,2,8,6,8,12.56,12.5,4.69,63.3,5,6.850000000000001
1736,3,4,5,3,2,7,8,2,9,11,6,8,1,9,5,8,15.700000000000001,11.25,2.68,21.599999999999998,26,6.26
1737,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,0.0,5.0,4.69,42.9,9,4.300000000000001
1738,3,2,5,3,1,6,12,3,4,8,11,8,2,10,1,8,15.700000000000001,5.0,1.34,31.2,22,6.839999999999998
1739,2,7,3,5,2,6,8,5,10,6,7,9,1,9,8,8,9.42,12.5,4.69,53.1,26,7.09
1740,5,9,6,6,6,7,9,4,6,8,7,4,5,10,4,7,18.84,7.5,6.03,43.5,16,8.610000000000001
1741,2,3,4,2,1,9,6,3,5,14,6,10,0,7,0,8,12.56,6.25,2.0100000000000002,31.499999999999996,10,4.58
1742,4,7,7,5,5,5,11,2,2,8,9,8,7,12,1,8,21.98,2.5,4.69,22.5,23,9.08
1743,3,5,4,7,6,8,8,3,1,7,7,9,4,11,6,7,12.56,1.25,3.35,32.099999999999994,25,8.690000000000001
1744,4,8,5,6,6,8,7,4,2,6,6,8,7,8,7,11,15.700000000000001,2.5,5.36,43.199999999999996,7,8.74
1745,9,15,9,8,6,11,2,5,2,11,4,11,7,2,5,11,28.26,2.5,10.05,55.5,1,9.68
1746,5,5,5,7,2,1,15,5,3,12,9,4,0,8,3,6,15.700000000000001,3.75,3.35,52.5,6,6.829999999999998
1747,4,9,7,6,9,8,6,3,1,7,4,8,10,7,2,6,21.98,1.25,6.03,33.3,13,8.499999999999998
1748,3,8,5,6,4,4,4,4,7,2,1,6,1,6,1,6,15.700000000000001,8.75,5.36,43.199999999999996,12,4.16
1749,4,6,4,7,4,7,9,5,3,7,9,11,3,9,7,8,12.56,3.75,4.0200000000000005,52.8,17,8.979999999999999
1750,3,2,4,4,3,6,7,6,6,7,6,10,3,7,4,9,12.56,7.5,1.34,61.8,7,5.82
1751,6,10,8,8,10,8,8,4,5,5,7,9,9,8,9,7,25.12,6.25,6.7,43.8,11,11.559999999999999
1752,4,11,5,8,2,6,10,1,3,7,12,8,1,11,0,8,15.700000000000001,3.75,7.37,13.5,25,8.770000000000001
1753,2,3,2,2,1,5,4,5,6,2,2,5,1,7,1,6,6.28,7.5,2.0100000000000002,51.9,12,2.2899999999999996
1754,3,7,5,5,4,5,10,2,2,8,9,9,7,11,1,8,15.700000000000001,2.5,4.69,22.5,23,8.3
1755,2,3,3,1,1,6,2,2,1,5,2,8,1,6,1,7,9.42,1.25,2.0100000000000002,21.299999999999997,1,2.3399999999999994
1756,10,13,8,7,5,7,7,5,5,9,4,9,7,6,7,11,25.12,6.25,8.71,54.9,18,10.11
1757,6,5,7,8,4,8,7,13,2,7,9,8,9,6,0,8,21.98,2.5,3.35,134.1,13,8.27
1758,3,4,4,3,1,5,12,2,2,9,11,7,3,12,1,7,12.56,2.5,2.68,21.599999999999998,22,7.139999999999999
1759,5,10,8,7,8,9,6,4,6,9,5,7,2,8,6,10,25.12,7.5,6.7,43.8,2,8.94
1760,4,6,6,4,2,8,10,2,6,13,5,3,2,10,2,8,18.84,7.5,4.0200000000000005,22.2,6,6.470000000000001
1761,3,4,4,6,1,6,12,2,3,9,12,8,0,10,0,8,12.56,3.75,2.68,21.599999999999998,25,7.169999999999998
1762,4,9,6,7,4,7,5,3,0,6,1,8,2,7,1,7,18.84,0.0,6.03,33.3,1,5.970000000000002
1763,4,4,6,7,1,8,8,4,3,7,14,8,3,9,0,8,18.84,3.75,2.68,42.0,22,7.879999999999997
1764,3,7,4,5,2,7,7,14,2,5,6,8,6,8,0,8,12.56,2.5,4.69,144.89999999999998,14,6.309999999999999
1765,4,6,6,8,4,13,4,3,7,10,2,7,2,7,5,12,18.84,8.75,4.0200000000000005,32.4,26,7.129999999999999
1766,1,3,2,2,1,12,2,3,1,11,2,9,2,6,2,8,6.28,1.25,2.0100000000000002,31.499999999999996,1,3.56
1767,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,15.700000000000001,3.75,6.03,74.1,18,8.15
1768,3,9,5,7,3,8,9,4,1,7,12,8,2,10,0,8,15.700000000000001,1.25,6.03,43.5,22,8.419999999999998
1769,7,11,10,8,13,11,5,3,3,9,4,8,11,8,4,8,31.400000000000002,3.75,7.37,33.9,13,11.389999999999997
1770,3,6,5,5,4,5,6,3,4,7,6,11,4,10,7,8,15.700000000000001,5.0,4.0200000000000005,32.4,3,7.68
1771,8,12,7,6,4,9,9,4,7,8,2,5,6,6,4,8,21.98,8.75,8.040000000000001,44.4,8,8.469999999999999
1772,7,11,10,8,7,7,11,2,3,6,9,8,12,11,2,7,31.400000000000002,3.75,7.37,23.7,23,12.1
1773,4,9,4,7,1,0,0,6,6,0,0,5,0,8,0,8,12.56,7.5,6.03,63.9,12,2.5499999999999994
1774,2,1,2,1,1,7,7,6,6,7,6,5,2,8,2,7,6.28,7.5,0.67,61.49999999999999,4,3.760000000000001
1775,5,5,6,4,3,4,8,5,8,10,9,9,3,9,2,6,18.84,10.0,3.35,52.5,21,7.029999999999999
1776,3,7,5,5,3,10,2,2,2,9,1,8,2,6,3,8,15.700000000000001,2.5,4.69,22.5,1,5.07
1777,4,11,6,8,4,7,8,2,10,11,8,6,2,7,6,6,18.84,12.5,7.37,23.7,26,8.41
1778,5,7,5,5,2,4,9,5,8,12,10,8,3,9,1,6,15.700000000000001,10.0,4.69,53.1,21,7.199999999999999
1779,2,0,2,1,1,8,8,4,0,7,8,8,6,9,0,8,6.28,0.0,0.0,40.8,23,5.039999999999999
1780,3,3,4,5,2,7,7,14,2,5,6,8,6,8,0,8,12.56,2.5,2.0100000000000002,143.7,14,5.789999999999999
1781,1,9,0,6,0,7,7,4,4,7,6,8,0,8,0,8,0.0,5.0,6.03,43.5,9,4.859999999999999
1782,2,1,3,2,2,7,7,5,7,7,6,8,2,8,5,10,9.42,8.75,0.67,51.3,5,5.050000000000001
1783,4,5,5,5,2,9,8,7,6,5,7,9,3,8,5,9,15.700000000000001,7.5,3.35,72.89999999999999,17,7.519999999999998
1784,4,5,7,4,3,9,6,1,9,10,4,7,2,8,3,8,21.98,11.25,3.35,11.7,24,6.289999999999999
1785,3,5,4,7,7,8,5,4,2,7,7,9,5,10,4,7,12.56,2.5,3.35,42.3,25,7.950000000000001
1786,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,15.700000000000001,11.25,7.37,64.5,19,8.389999999999999
1787,5,10,6,8,4,7,7,4,4,7,6,8,3,8,4,8,18.84,5.0,6.7,43.8,24,8.25
1788,1,3,3,1,1,6,10,3,4,13,7,5,1,9,1,7,9.42,5.0,2.0100000000000002,31.499999999999996,6,4.41
1789,10,11,10,8,4,3,9,6,9,12,12,9,3,9,1,7,31.400000000000002,11.25,7.37,64.5,21,10.209999999999999
1790,2,4,3,3,2,10,6,3,5,10,3,7,2,7,3,10,9.42,6.25,2.68,31.799999999999997,18,4.83
1791,4,4,5,7,2,7,8,8,8,6,8,9,3,8,4,8,15.700000000000001,10.0,2.68,82.8,15,7.369999999999999
1792,7,11,10,9,15,8,8,6,2,7,7,8,14,10,5,8,31.400000000000002,2.5,7.37,64.5,23,13.149999999999999
1793,2,5,4,4,2,9,7,2,6,14,5,9,1,6,1,8,12.56,7.5,3.35,21.9,10,5.24
1794,1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8,6.28,0.0,0.67,20.7,1,2.4500000000000006
1795,4,2,5,4,4,8,7,6,7,7,6,8,6,8,4,7,15.700000000000001,8.75,1.34,61.8,8,6.829999999999998
1796,2,3,2,4,1,0,2,5,6,0,0,7,0,8,0,8,6.28,7.5,2.0100000000000002,51.9,12,1.3399999999999994
1797,4,7,6,5,3,7,7,2,9,12,6,9,1,9,6,8,18.84,11.25,4.69,22.5,26,7.499999999999998
1798,1,3,3,1,1,9,7,2,5,10,4,7,1,8,2,9,9.42,6.25,2.0100000000000002,21.299999999999997,2,4.18
1799,4,5,5,3,3,7,6,6,7,7,6,10,2,9,3,8,15.700000000000001,8.75,3.35,62.699999999999996,7,6.4399999999999995
1800,6,11,6,8,3,7,7,15,0,7,6,8,3,8,0,8,18.84,0.0,7.37,156.3,8,7.8100000000000005
1801,5,8,6,9,6,8,7,6,3,9,8,10,3,8,6,8,18.84,3.75,5.36,63.599999999999994,17,9.44
1802,8,10,11,8,5,4,8,4,9,12,12,11,3,8,4,5,34.54,11.25,6.7,43.8,11,10.569999999999997
1803,6,10,9,8,8,11,6,2,4,9,4,6,9,6,2,8,28.26,5.0,6.7,23.4,13,9.299999999999999
1804,6,11,6,8,3,7,7,15,2,4,6,8,6,8,0,8,18.84,2.5,7.37,156.3,14,8.170000000000002
1805,3,2,3,4,1,8,5,12,5,6,14,8,3,9,0,8,9.42,6.25,1.34,122.99999999999999,21,6.079999999999998
1806,2,2,3,3,2,7,7,7,4,7,6,8,2,8,3,8,9.42,5.0,1.34,71.99999999999999,15,5.029999999999999
1807,8,9,7,4,3,6,11,6,2,10,4,5,4,9,4,8,21.98,2.5,6.03,63.9,16,8.109999999999998
1808,2,1,3,2,1,7,10,1,7,7,11,8,1,11,1,8,9.42,8.75,0.67,10.5,25,6.000000000000002
1809,4,11,4,8,3,14,3,5,5,13,1,9,0,7,0,8,12.56,6.25,7.37,54.3,10,6.5
1810,3,6,4,8,4,8,8,5,2,8,8,10,3,9,5,8,12.56,2.5,4.0200000000000005,52.8,17,8.37
1811,5,10,6,8,3,7,7,4,15,9,6,8,0,8,9,8,18.84,18.75,6.7,43.8,26,8.509999999999998
1812,4,6,6,4,3,6,13,7,2,11,5,2,1,10,4,7,18.84,2.5,4.0200000000000005,73.19999999999999,16,6.83
1813,2,3,4,2,2,7,8,2,7,11,7,8,2,8,3,8,12.56,8.75,2.0100000000000002,21.299999999999997,5,5.469999999999999
1814,4,6,5,5,5,5,6,3,5,7,6,11,4,10,6,10,15.700000000000001,6.25,4.0200000000000005,32.4,3,7.8199999999999985
1815,3,9,4,6,2,6,8,0,8,14,7,8,0,8,1,7,12.56,10.0,6.03,2.6999999999999997,9,6.3100000000000005
1816,4,6,5,5,4,8,5,4,4,9,4,10,3,7,5,7,15.700000000000001,5.0,4.0200000000000005,42.599999999999994,15,6.75
1817,5,12,4,6,2,12,4,3,5,12,2,7,2,8,2,11,12.56,6.25,8.040000000000001,34.199999999999996,9,6.799999999999999
1818,7,9,7,7,3,3,11,2,4,9,11,7,5,11,1,6,21.98,5.0,6.03,23.099999999999998,22,9.28
1819,4,9,5,6,5,6,10,6,4,8,6,8,2,10,7,10,15.700000000000001,5.0,6.03,63.9,6,8.690000000000001
1820,6,10,7,8,7,6,8,6,4,8,7,8,5,9,7,10,21.98,5.0,6.7,64.19999999999999,16,9.969999999999999
